question_id,question_text,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,source_field,tags
Q402,What year was Queen Latifah born?,1970,1978,1977,1973,Birth Year,Easy,birth_year,"bio,origin"
Q403,Which city or region is Queen Latifah associated with?,"Newark, NJ","Long Beach, CA","Mitcham, London","San Francisco, CA",Origin,Easy,origin,location
Q404,What is the real name of Queen Latifah?,Dana Elaine Owens,Zaire Stewart,Ariyan Arslani,Paul Micheal Slayton,Real Name,Medium,real_name,identity
Q405,What year was Tech N9ne born?,1971,2008,1984,1991,Birth Year,Easy,birth_year,"bio,origin"
Q406,Which city or region is Tech N9ne associated with?,"Kansas City, MO","Vallejo, CA","Staten Island, NY","Portsmouth, VA",Origin,Easy,origin,location
Q407,What is the real name of Tech N9ne?,Aaron Dontez Yates,Symere Bysil Woods,Angel Del Villar II,Tramar Lacel Dillard,Real Name,Medium,real_name,identity
Q408,What year was Samara Cyn born?,1998,1989,1978,1962,Birth Year,Easy,birth_year,"bio,origin"
Q409,Which city or region is Samara Cyn associated with?,"Murfreesboro, TN","Miami Gardens, FL","Atlanta, GA","Irvine, CA",Origin,Easy,origin,location
Q410,What is the real name of Samara Cyn?,Samara Henderson,Rakim Athelaston Mayers,"Bun B, Pimp C","DJ Babu, Evidence, Rakaa Iriscience",Real Name,Medium,real_name,identity
Q411,What year was Big L born?,1974,1972,1975,1998,Birth Year,Easy,birth_year,"bio,origin"
Q412,Which city or region is Big L associated with?,"Harlem, NY","Central Islip, NY","Tampa, FL","Yonkers, NY",Origin,Easy,origin,location
Q413,What is the real name of Big L?,Lamont Coleman,Thebe Neruda Kgositsile,Ray Vaughn Jr.,Radric Delantic Davis,Real Name,Medium,real_name,identity
Q414,What year was Webbie born?,1985,1986,1984,1977,Birth Year,Easy,birth_year,"bio,origin"
Q415,Which city or region is Webbie associated with?,"Baton Rouge, LA","Jamaica, Queens","Miami, FL","Long Beach, CA",Origin,Easy,origin,location
Q416,What is the real name of Webbie?,Webster Gradney Jr.,Fredrick Jamel Tipton,Johnathan Jamall Porter,Quavious Keyate Marshall,Real Name,Medium,real_name,identity
Q417,What year was Q-Tip born?,1970,1966,1980,2002,Birth Year,Easy,birth_year,"bio,origin"
Q418,Which city or region is Q-Tip associated with?,"Queens, NY","Raleigh, NC","Minot, ND","Richmond, VA",Origin,Easy,origin,location
Q419,What is the real name of Q-Tip?,Kamaal Ibn John Fareed,Quincy Matthew Hanley,Tracy Lauren Marrow,Jarad Anthony Higgins,Real Name,Medium,real_name,identity
Q420,What year was Heavy D born?,1967,2001,1966,1993,Birth Year,Easy,birth_year,"bio,origin"
Q421,Which city or region is Heavy D associated with?,"Mandeville, Jamaica","Lima, Peru","Edwards Air Force Base, CA","Montgomery, AL",Origin,Easy,origin,location
Q422,What is the real name of Heavy D?,Dwight Arrington Myers,LaRon Louis James Sr.,Fatimah Nyeema Warner,Nasir bin Olu Dara Jones,Real Name,Medium,real_name,identity
Q423,What year was Too $hort born?,1966,1986,1976,1995,Birth Year,Easy,birth_year,"bio,origin"
Q424,Which city or region is Too $hort associated with?,"Oakland, CA","Inglewood, CA","Saint James, Trinidad and Tobago","Worcester, MA",Origin,Easy,origin,location
Q425,What is the real name of Too $hort?,Todd Anthony Shaw,Nayvadius DeMun Wilburn,Ryan Daniel Montgomery,Kendrick Lamar Duckworth,Real Name,Medium,real_name,identity
Q426,What year was Chika born?,1997,1983,1981,1994,Birth Year,Easy,birth_year,"bio,origin"
Q427,Which city or region is Chika associated with?,"Montgomery, AL","Oxnard, CA","Flint, MI","Long Island, NY",Origin,Easy,origin,location
Q428,What is the real name of Chika?,Jane Chika Oranika,Fatimah Nyeema Warner,Megan Jovon Ruth Pete,Ryan Daniel Montgomery,Real Name,Medium,real_name,identity
Q429,What year was Azealia Banks born?,1991,1971,1980,1984,Birth Year,Easy,birth_year,"bio,origin"
Q430,Which city or region is Azealia Banks associated with?,"Harlem, NY","New York City, NY","Saint James, Trinidad and Tobago","Wyandanch, NY",Origin,Easy,origin,location
Q431,What is the real name of Azealia Banks?,Azealia Amanda Banks,Tamia Monique Carter,Germaine Williams,"Rio Loz, Ras Austin, Taj Austin, Eric Jamal",Real Name,Medium,real_name,identity
Q432,What year was Lil Uzi Vert born?,1995,1984,1999,1983,Birth Year,Easy,birth_year,"bio,origin"
Q433,Which city or region is Lil Uzi Vert associated with?,"Philadelphia, PA","Corona, Queens","Cheltenham Township, PA","Minot, ND",Origin,Easy,origin,location
Q434,What is the real name of Lil Uzi Vert?,Symere Bysil Woods,Denzel Rae Don Curry,Shawntae Harris-Dupart,Robert Fitzgerald Diggs,Real Name,Medium,real_name,identity
Q435,Which city or region is Naughty By Nature associated with?,"East Orange, NJ","Louisville, KY","Pompano Beach, FL","Minneapolis, Minnesota",Origin,Easy,origin,location
Q436,What is the real name of Naughty By Nature?,"Treach, Vin Rock",Brandon Paak Anderson,Donald McKinley Glover Jr.,Lamont Coleman,Real Name,Medium,real_name,identity
Q437,What year was Eve born?,1978,1995,1981,1965,Birth Year,Easy,birth_year,"bio,origin"
Q438,Which city or region is Eve associated with?,"Philadelphia, PA","Milwaukee, WI","Wiesbaden, Germany","Harlem, NY",Origin,Easy,origin,location
Q439,What is the real name of Eve?,Eve Jihan Cooper,John David Jackson,Lolita Shanté Gooden,Jayson Andrew Jenkins,Real Name,Medium,real_name,identity
Q440,What year was Leikeli47 born?,1990,1992,1979,1995,Birth Year,Easy,birth_year,"bio,origin"
Q441,Which city or region is Leikeli47 associated with?,Virginia,"Long Beach, CA","New York, NY","Fayetteville, NC",Origin,Easy,origin,location
Q442,What is the real name of Leikeli47?,Hasben Jones,Victor Kwesi Mensah,"Talib Kweli, Yasiin Bey",Jaylah Ji'mya Hickmon,Real Name,Medium,real_name,identity
Q443,What year was Aminé born?,1994,1973,1982,1991,Birth Year,Easy,birth_year,"bio,origin"
Q444,Which city or region is Aminé associated with?,"Portland, OR","Minot, ND","Central Islip, NY","Montgomery, AL",Origin,Easy,origin,location
Q445,What is the real name of Aminé?,Adam Aminé Daniel,Angel Del Villar II,John R. Austin II,"Joseph Simmons, Darryl McDaniels, Jason Mizell",Real Name,Medium,real_name,identity
Q446,What year was Jay-Z born?,1969,1971,1983,1978,Birth Year,Easy,birth_year,"bio,origin"
Q447,Which city or region is Jay-Z associated with?,"Brooklyn, NY","Meridian, MS","Mitcham, London","Inglewood, CA",Origin,Easy,origin,location
Q448,What is the real name of Jay-Z?,Shawn Corey Carter,Thebe Neruda Kgositsile,Russell Santiago,Rashia Tashan Fisher,Real Name,Medium,real_name,identity
Q449,What year was Westside Boogie born?,1989,1962,1980,1991,Birth Year,Easy,birth_year,"bio,origin"
Q450,Which city or region is Westside Boogie associated with?,"Compton, CA","Atlanta, GA","Virginia Beach, VA","Saint James, Trinidad and Tobago",Origin,Easy,origin,location
Q451,What is the real name of Westside Boogie?,Anthony Tremaine Dixson,Michael Taylor Perretta,Inga DeCarlo Fung Marchand,Eve Jihan Cooper,Real Name,Medium,real_name,identity
Q452,What year was Kamaiyah born?,1992,1960,1990,1976,Birth Year,Easy,birth_year,"bio,origin"
Q453,Which city or region is Kamaiyah associated with?,"Oakland, CA","Pittsburgh, PA","Brookhaven, MS","New York City, NY",Origin,Easy,origin,location
Q454,What is the real name of Kamaiyah?,Kamaiyah Jamesha Johnson,Donald McKinley Glover Jr.,Mach-Hommy,Shyniece Thomas,Real Name,Medium,real_name,identity
Q455,What year was Ray Vaughn born?,1999,2002,1978,1971,Birth Year,Easy,birth_year,"bio,origin"
Q456,Which city or region is Ray Vaughn associated with?,"Carson, CA","New York City, NY","St. Louis, MO","Mandeville, Jamaica",Origin,Easy,origin,location
Q457,What is the real name of Ray Vaughn?,Ray Vaughn Jr.,Keith Farrelle Cozart,Joseph Anthony Budden II,Robert Rihmeek Williams,Real Name,Medium,real_name,identity
Q458,What year was Eminem born?,1972,1986,1994,1967,Birth Year,Easy,birth_year,"bio,origin"
Q459,Which city or region is Eminem associated with?,"Detroit, MI","Mitcham, London","East Orange, NJ","San Antonio, TX",Origin,Easy,origin,location
Q460,What is the real name of Eminem?,Marshall Bruce Mathers III,Olubowale Victor Akintimehin,Inga DeCarlo Fung Marchand,Tobe Nwigwe,Real Name,Medium,real_name,identity
Q461,What year was Mach-Hommy born?,1977,1958,1983,1991,Birth Year,Easy,birth_year,"bio,origin"
Q462,Which city or region is Mach-Hommy associated with?,"Newark, NJ","Washington, D.C.","Oakland, CA","Cordova, TN",Origin,Easy,origin,location
Q463,What is the real name of Mach-Hommy?,Mach-Hommy,Tramar Lacel Dillard,"Q-Tip, Phife Dawg",Reginald Noble,Real Name,Medium,real_name,identity
Q464,What year was Silkk the Shocker born?,1975,1958,1987,1970,Birth Year,Easy,birth_year,"bio,origin"
Q465,Which city or region is Silkk the Shocker associated with?,"New Orleans, LA","Portsmouth, VA","Morrisville, PA","Staten Island, NY",Origin,Easy,origin,location
Q466,What is the real name of Silkk the Shocker?,Vyshonn King Miller,David R. Styles,Radric Delantic Davis,Jackman Thomas Harlow,Real Name,Medium,real_name,identity
Q467,Which city or region is Mobb Deep associated with?,"Queens, NY","Oxnard, CA","Minneapolis, Minnesota","Baltimore, MD",Origin,Easy,origin,location
Q468,What is the real name of Mobb Deep?,"Prodigy, Havoc","Coldhard, Wildstyle, Kilo, Never",Various Artists,Radric Delantic Davis,Real Name,Medium,real_name,identity
Q469,What year was Juicy J born?,1975,1991,1972,1996,Birth Year,Easy,birth_year,"bio,origin"
Q470,Which city or region is Juicy J associated with?,"Memphis, TN","San Antonio, TX","Queens, NY","Snow Hill, NC",Origin,Easy,origin,location
Q471,What is the real name of Juicy J?,Jordan Michael Houston III,Santiago Leyva,Sean Michael Leonard Anderson,Denzel Rae Don Curry,Real Name,Medium,real_name,identity
Q472,What year was Sa-Roc born?,1981,1983,1962,1988,Birth Year,Easy,birth_year,"bio,origin"
Q473,Which city or region is Sa-Roc associated with?,"Washington, D.C.","Edwards Air Force Base, CA","Flint, MI","New York, NY",Origin,Easy,origin,location
Q474,What is the real name of Sa-Roc?,Assata Perkins,Teren Delvon Jones,Jo-Vaughn Virginie Scott,Inga DeCarlo Fung Marchand,Real Name,Medium,real_name,identity
Q475,What year was J.I.D born?,1990,1962,1984,1976,Birth Year,Easy,birth_year,"bio,origin"
Q476,Which city or region is J.I.D associated with?,"Atlanta, GA","Cleveland, OH","Morrisville, PA","Philadelphia, PA",Origin,Easy,origin,location
Q477,What is the real name of J.I.D?,Destin Choice Route,"Joseph Simmons, Darryl McDaniels, Jason Mizell","A-Plus, Phesto, Opio, Tajai",Juaquin James Malphurs,Real Name,Medium,real_name,identity
Q478,What year was Keith Murray born?,1974,1991,1998,2000,Birth Year,Easy,birth_year,"bio,origin"
Q479,Which city or region is Keith Murray associated with?,"Central Islip, NY","Jamaica, Queens","Boston, MA","Mandeville, Jamaica",Origin,Easy,origin,location
Q480,What is the real name of Keith Murray?,Keith Omar Murray,Rashia Tashan Fisher,Donald McKinley Glover Jr.,Dana Elaine Owens,Real Name,Medium,real_name,identity
Q481,What year was Dave East born?,1988,1974,1992,1975,Birth Year,Easy,birth_year,"bio,origin"
Q482,Which city or region is Dave East associated with?,"New York, NY","Buffalo, NY","Gadsden, AL","Dallas, TX",Origin,Easy,origin,location
Q483,What is the real name of Dave East?,David Lawrence Brewster Jr.,Jaime Stuart Meline,Kenyatta Lee Frazier Jr.,"Rio Loz, Ras Austin, Taj Austin, Eric Jamal",Real Name,Medium,real_name,identity
Q484,What year was Rico Nasty born?,1997,1962,1999,2001,Birth Year,Easy,birth_year,"bio,origin"
Q485,Which city or region is Rico Nasty associated with?,"New York City, NY","Minot, ND","Baton Rouge, LA","Manhattan, NY",Origin,Easy,origin,location
Q486,What is the real name of Rico Nasty?,Maria-Cecilia Simone Kelly,Lawrence Parker,Sergio Giavanni Kitchens,Anthony Tremaine Dixson,Real Name,Medium,real_name,identity
Q487,What year was Method Man born?,1971,1972,1969,1968,Birth Year,Easy,birth_year,"bio,origin"
Q488,Which city or region is Method Man associated with?,"Hempstead, NY","New York, NY","Inglewood, CA","Jamaica, Queens",Origin,Easy,origin,location
Q489,What is the real name of Method Man?,Clifford Smith Jr.,Fredrick Jamel Tipton,Jeremie Damon Pennick,Maurice Samuel Young,Real Name,Medium,real_name,identity
Q490,What year was One Be Lo born?,1976,1971,1993,1984,Birth Year,Easy,birth_year,"bio,origin"
Q491,Which city or region is One Be Lo associated with?,"Pontiac, MI","Minot, ND","Las Vegas, NV","Minneapolis, Minnesota",Origin,Easy,origin,location
Q492,What is the real name of One Be Lo?,Nashid Sulaiman,"Rio Loz, Ras Austin, Taj Austin, Eric Jamal",Shamele Mackie,Antonio Hardy,Real Name,Medium,real_name,identity
Q493,What year was Jay Worthy born?,1984,1989,1960,1962,Birth Year,Easy,birth_year,"bio,origin"
Q494,Which city or region is Jay Worthy associated with?,"Compton, CA","South Orange, NJ","Queensbridge, NY","Brookhaven, MS",Origin,Easy,origin,location
Q495,What is the real name of Jay Worthy?,Jeffrey James Sidhoo,Joseph Antonio Cartagena,Coi Leray Collins,Vincent Jamal Staples,Real Name,Medium,real_name,identity
Q496,What year was Benny the Butcher born?,1984,1981,1986,1990,Birth Year,Easy,birth_year,"bio,origin"
Q497,Which city or region is Benny the Butcher associated with?,"Buffalo, NY","Virginia Beach, VA","Watts, CA","South Orange, NJ",Origin,Easy,origin,location
Q498,What is the real name of Benny the Butcher?,Jeremie Damon Pennick,Earl Simmons,Ariyan Arslani,Ian Matthias Bavitz,Real Name,Medium,real_name,identity
Q499,What year was NWA born?,1986,1989,1962,1990,Birth Year,Easy,birth_year,"bio,origin"
Q500,Which city or region is NWA associated with?,"Compton, CA","Oxnard, CA","College Park, GA","Miami Gardens, FL",Origin,Easy,origin,location
Q501,What is the real name of NWA?,Various Artists,Jermaine Lamarr Cole,John David Jackson,Jean-Jacques Cadet,Real Name,Medium,real_name,identity
Q502,What year was Loaded Lux born?,1984,1996,1975,1977,Birth Year,Easy,birth_year,"bio,origin"
Q503,Which city or region is Loaded Lux associated with?,"Harlem, NY","Bronx, NY","Oxnard, CA","Tampa, FL",Origin,Easy,origin,location
Q504,What is the real name of Loaded Lux?,John Lucks,Asher Paul Roth,Ray Vaughn Jr.,"Pusha T, Malice",Real Name,Medium,real_name,identity
Q505,What year was Black Star born?,1996,1982,1968,1999,Birth Year,Easy,birth_year,"bio,origin"
Q506,Which city or region is Black Star associated with?,"Brooklyn, NY","College Park, GA","Washington, D.C.","Minneapolis, Minnesota",Origin,Easy,origin,location
Q507,What is the real name of Black Star?,"Talib Kweli, Yasiin Bey",Jordan Terrell Carter,"Posdnuos, Trugoy, Maseo",James Dewitt Yancey,Real Name,Medium,real_name,identity
Q508,What year was Cam'ron born?,1976,1990,1974,1991,Birth Year,Easy,birth_year,"bio,origin"
Q509,Which city or region is Cam'ron associated with?,"Harlem, NY","Cleveland, OH","Fayetteville, NC","Savannah, GA",Origin,Easy,origin,location
Q510,What is the real name of Cam'ron?,Cameron Ezike Giles,"Treach, Vin Rock","Salt, Pepa",David R. Styles,Real Name,Medium,real_name,identity
Q511,What year was Inspectah Deck born?,1970,2002,1973,1993,Birth Year,Easy,birth_year,"bio,origin"
Q512,Which city or region is Inspectah Deck associated with?,"Brooklyn, NY","Cape Town, South Africa","Ithaca, NY","Houston, TX",Origin,Easy,origin,location
Q513,What is the real name of Inspectah Deck?,Jason S Hunter,Shad Gregory Moss,Michael Eagle II,Caresha Romeka Brownlee,Real Name,Medium,real_name,identity
Q514,What year was Ludacris born?,1977,1989,1990,1960,Birth Year,Easy,birth_year,"bio,origin"
Q515,Which city or region is Ludacris associated with?,"Atlanta, GA","Snow Hill, NC","South Gate, CA","Central Islip, NY",Origin,Easy,origin,location
Q516,What is the real name of Ludacris?,Christopher Brian Bridges,Paul Micheal Slayton,David Lawrence Brewster Jr.,Stanley Kirk Burrell,Real Name,Medium,real_name,identity
Q517,What year was Missy Elliott born?,1971,1989,1973,1984,Birth Year,Easy,birth_year,"bio,origin"
Q518,Which city or region is Missy Elliott associated with?,"Portsmouth, VA","Bowling Green, KY","Watts, CA","Mitcham, London",Origin,Easy,origin,location
Q519,What is the real name of Missy Elliott?,Melissa Arnette Elliott,Russell Santiago,Ermias Joseph Asghedom,Jason Douglas Newman,Real Name,Medium,real_name,identity
Q520,What year was Cordae born?,1997,1958,1987,1974,Birth Year,Easy,birth_year,"bio,origin"
Q521,Which city or region is Cordae associated with?,"Raleigh, NC","Murfreesboro, TN","Richmond, VA","Bowling Green, KY",Origin,Easy,origin,location
Q522,What is the real name of Cordae?,Cordae Amari Dunston,Brandon Paak Anderson,Shéyaa Bin Abraham-Joseph,"Wyclef Jean, Ms. Lauryn Hill, Pras",Real Name,Medium,real_name,identity
Q523,What year was Tierra Whack born?,1995,2002,1986,1973,Birth Year,Easy,birth_year,"bio,origin"
Q524,Which city or region is Tierra Whack associated with?,"Philadelphia, PA","Brookhaven, MS","Jamaica, Queens","London, ON",Origin,Easy,origin,location
Q525,What is the real name of Tierra Whack?,Tierra Helena Whack,Dana Elaine Owens,Barry Adrian Reese,Clifford Smith Jr.,Real Name,Medium,real_name,identity
Q526,What year was Uncle Murda born?,1980,1989,1975,1962,Birth Year,Easy,birth_year,"bio,origin"
Q527,Which city or region is Uncle Murda associated with?,"Brooklyn, NY","Brownsville, Brooklyn","Fresno, CA","New Orleans, LA",Origin,Easy,origin,location
Q528,What is the real name of Uncle Murda?,Leonard Grant,"DJ Babu, Evidence, Rakaa Iriscience",Kamaal Ibn John Fareed,"Posdnuos, Trugoy, Maseo",Real Name,Medium,real_name,identity
Q529,What year was Big Daddy Kane born?,1968,1971,1992,1998,Birth Year,Easy,birth_year,"bio,origin"
Q530,Which city or region is Big Daddy Kane associated with?,"Brooklyn, NY","Winston-Salem, NC","Savannah, GA",Virginia,Origin,Easy,origin,location
Q531,What is the real name of Big Daddy Kane?,Antonio Hardy,Amala Ratna Zandile Dlamini,Kenny Mason,"T3, J Dilla, Baatin, Elzhi, J Illa, Young RJ",Real Name,Medium,real_name,identity
Q532,What year was Homeboy Sandman born?,1980,1988,1990,1981,Birth Year,Easy,birth_year,"bio,origin"
Q533,Which city or region is Homeboy Sandman associated with?,"Queens, NY","Harlem, NY","Virginia Beach, VA","Chicago, IL",Origin,Easy,origin,location
Q534,What is the real name of Homeboy Sandman?,Angel Del Villar II,Jeffery Lamar Williams,Herbert Anthony Stevens IV,Victor James Santiago Jr.,Real Name,Medium,real_name,identity
Q535,What year was YoungBoy Never Broke Again born?,1999,1994,1982,1995,Birth Year,Easy,birth_year,"bio,origin"
Q536,Which city or region is YoungBoy Never Broke Again associated with?,"Baton Rouge, LA","Memphis, TN","Spanish Harlem, NY","Mobile, AL",Origin,Easy,origin,location
Q537,What is the real name of YoungBoy Never Broke Again?,Kentrell DeSean Gaulden,Richard Martin Lloyd Walters,Jayson Andrew Jenkins,Joseph Anthony Budden II,Real Name,Medium,real_name,identity
Q538,What year was Mystikal born?,1970,1978,1968,1996,Birth Year,Easy,birth_year,"bio,origin"
Q539,Which city or region is Mystikal associated with?,"New Orleans, LA","Brooklyn, NY","Edwards Air Force Base, CA","Staten Island, NY",Origin,Easy,origin,location
Q540,What is the real name of Mystikal?,Michael Lawrence Tyler,Dwight Arrington Myers,Keith Omar Murray,Oswin Benjamin,Real Name,Medium,real_name,identity
Q541,What year was Lola Brooke born?,1994,1980,1972,1965,Birth Year,Easy,birth_year,"bio,origin"
Q542,Which city or region is Lola Brooke associated with?,"Brooklyn, NY","Philadelphia, PA","Virginia Beach, VA","Irvine, CA",Origin,Easy,origin,location
Q543,What is the real name of Lola Brooke?,Shyniece Thomas,Russell Tyrone Jones,"Bun B, Pimp C","Taboo, will.i.am, APL.DE.AP",Real Name,Medium,real_name,identity
Q544,Which city or region is Cypress Hill associated with?,"South Gate, CA","Morrisville, PA","Rockville, MD","Buffalo, NY",Origin,Easy,origin,location
Q545,What year was Kxng Crooked born?,1978,1992,1991,1983,Birth Year,Easy,birth_year,"bio,origin"
Q546,Which city or region is Kxng Crooked associated with?,"Long Beach, CA","Clarksdale, MS","Detroit, MI","Baton Rouge, LA",Origin,Easy,origin,location
Q547,What is the real name of Kxng Crooked?,Dominick Antron Wickliffe,"Posdnuos, Trugoy, Maseo",Jason Douglas Newman,Simmie Sims III,Real Name,Medium,real_name,identity
Q548,What year was Grafh born?,1982,1966,1996,1987,Birth Year,Easy,birth_year,"bio,origin"
Q549,Which city or region is Grafh associated with?,"Jamaica, Queens","Harlem, NY","Inglewood, CA","Buffalo, NY",Origin,Easy,origin,location
Q550,What is the real name of Grafh?,Philip Bernard,Noah Olivier Smith,Shyniece Thomas,Curtis Eugene Cross,Real Name,Medium,real_name,identity
Q551,What year was Rapsody born?,1983,1966,1962,1958,Birth Year,Easy,birth_year,"bio,origin"
Q552,Which city or region is Rapsody associated with?,"Snow Hill, NC","Atlanta, GA","Cordova, TN","Oxnard, CA",Origin,Easy,origin,location
Q553,What is the real name of Rapsody?,Marlanna Evans,Cordae Amari Dunston,Shawntae Harris-Dupart,Enongo Lumumba-Kasongo,Real Name,Medium,real_name,identity
Q554,What year was A Boogie wit da Hoodie born?,1995,1991,1975,1986,Birth Year,Easy,birth_year,"bio,origin"
Q555,Which city or region is A Boogie wit da Hoodie associated with?,"The Bronx, NY","Rockville, MD","Long Beach, CA","Vallejo, CA",Origin,Easy,origin,location
Q556,What is the real name of A Boogie wit da Hoodie?,Artist Julius Dubose,Dennis David Coles,"Chuck D, Flavor Flav",Rashia Tashan Fisher,Real Name,Medium,real_name,identity
Q557,What year was Ja Rule born?,1976,1974,1981,2001,Birth Year,Easy,birth_year,"bio,origin"
Q558,Which city or region is Ja Rule associated with?,"Queens, NY","Hempstead, NY","New York City, NY","Minneapolis, Minnesota",Origin,Easy,origin,location
Q559,What is the real name of Ja Rule?,Jeffrey Bruce Atkins,Willard Carroll Smith Jr.,Destin Choice Route,André 3000 & Big Boi,Real Name,Medium,real_name,identity
Q560,What year was Blueface born?,1997,1974,1972,1980,Birth Year,Easy,birth_year,"bio,origin"
Q561,Which city or region is Blueface associated with?,"Los Angeles, CA","Plantation, FL","Charlotte, NC","Queens, NY",Origin,Easy,origin,location
Q562,What is the real name of Blueface?,Johnathan Jamall Porter,"Rio Loz, Ras Austin, Taj Austin, Eric Jamal",Damian Robert Nesta Marley,Fatimah Nyeema Warner,Real Name,Medium,real_name,identity
Q563,What year was Shad born?,1982,1974,1997,1978,Birth Year,Easy,birth_year,"bio,origin"
Q564,Which city or region is Shad associated with?,"London, ON","Durham, NC","Montgomery, AL","New York, NY",Origin,Easy,origin,location
Q565,What is the real name of Shad?,Shadrach Kabango,Andre Louis Hicks,Radric Delantic Davis,"Salt, Pepa",Real Name,Medium,real_name,identity
Q566,What year was Arrested Development born?,1988,1968,1985,1986,Birth Year,Easy,birth_year,"bio,origin"
Q567,Which city or region is Arrested Development associated with?,"Atlanta, GA","Oakland, CA","Hempstead, NY","Miami Gardens, FL",Origin,Easy,origin,location
Q568,What is the real name of Arrested Development?,Various Artists,Mach-Hommy,Jo-Vaughn Virginie Scott,Jordan Terrell Carter,Real Name,Medium,real_name,identity
Q569,What year was Mick Jenkins born?,1991,1970,2001,1981,Birth Year,Easy,birth_year,"bio,origin"
Q570,Which city or region is Mick Jenkins associated with?,"Chicago, IL","Brownsville, Brooklyn","Plantation, FL","Philadelphia, PA",Origin,Easy,origin,location
Q571,What is the real name of Mick Jenkins?,Jayson Andrew Jenkins,"Fredro Starr, Sticky Fingaz, Sonny Seeza, Big DS",Keith Omar Murray,Yasiin Bey,Real Name,Medium,real_name,identity
Q572,Which city or region is Fugees associated with?,"South Orange, NJ","Murfreesboro, TN","Pittsburgh, PA","Savannah, GA",Origin,Easy,origin,location
Q573,What is the real name of Fugees?,"Wyclef Jean, Ms. Lauryn Hill, Pras","Fredro Starr, Sticky Fingaz, Sonny Seeza, Big DS",Stanley Kirk Burrell,Tamia Monique Carter,Real Name,Medium,real_name,identity
Q574,What year was Ice Cube born?,1969,1981,1979,1996,Birth Year,Easy,birth_year,"bio,origin"
Q575,Which city or region is Ice Cube associated with?,"Los Angeles, CA","Mandeville, Jamaica","Jamaica, Queens","Mitcham, London",Origin,Easy,origin,location
Q576,What is the real name of Ice Cube?,O'Shea Jackson Sr.,Megan Jovon Ruth Pete,LaRon Louis James Sr.,Stayve Jerome Thomas,Real Name,Medium,real_name,identity
Q577,What year was Lil Wayne born?,1982,1970,1968,1999,Birth Year,Easy,birth_year,"bio,origin"
Q578,Which city or region is Lil Wayne associated with?,"New Orleans, LA","Minot, ND","Las Vegas, NV","Plantation, FL",Origin,Easy,origin,location
Q579,What is the real name of Lil Wayne?,Dwayne Michael Carter Jr.,"Fredro Starr, Sticky Fingaz, Sonny Seeza, Big DS",Jarad Anthony Higgins,Yannick Koffi,Real Name,Medium,real_name,identity
Q580,What year was Joey Bada$$ born?,1995,1976,1965,1960,Birth Year,Easy,birth_year,"bio,origin"
Q581,Which city or region is Joey Bada$$ associated with?,"Brooklyn, NY","Bowling Green, KY","Durham, NC","Savannah, GA",Origin,Easy,origin,location
Q582,What is the real name of Joey Bada$$?,Jo-Vaughn Virginie Scott,"A-Plus, Phesto, Opio, Tajai","Fredro Starr, Sticky Fingaz, Sonny Seeza, Big DS",Marshall Bruce Mathers III,Real Name,Medium,real_name,identity
Q583,What year was Rah Digga born?,1974,1987,1993,1973,Birth Year,Easy,birth_year,"bio,origin"
Q584,Which city or region is Rah Digga associated with?,"Newark, NJ","Baton Rouge, LA","Central Islip, NY","Kansas City, MO",Origin,Easy,origin,location
Q585,What is the real name of Rah Digga?,Rashia Tashan Fisher,Michael Wayne Atha,Terius Gray,Dieuson Octave,Real Name,Medium,real_name,identity
Q586,What year was Juelz Santana born?,1982,1967,2008,1988,Birth Year,Easy,birth_year,"bio,origin"
Q587,Which city or region is Juelz Santana associated with?,"Harlem, NY","New York City, NY","Las Vegas, NV","Louisville, KY",Origin,Easy,origin,location
Q588,What is the real name of Juelz Santana?,LaRon Louis James Sr.,Ian Matthias Bavitz,"Wyclef Jean, Ms. Lauryn Hill, Pras",Melissa Arnette Elliott,Real Name,Medium,real_name,identity
Q589,What year was Damian Marley born?,1978,1966,1972,1979,Birth Year,Easy,birth_year,"bio,origin"
Q590,Which city or region is Damian Marley associated with?,"Kingston, Jamaica","New York, NY","Miami Gardens, FL","Brookhaven, MS",Origin,Easy,origin,location
Q591,What is the real name of Damian Marley?,Damian Robert Nesta Marley,Cameron Ezike Giles,Philip Bernard,Corey Woods,Real Name,Medium,real_name,identity
Q592,What year was Travis Scott born?,1991,1990,1965,1984,Birth Year,Easy,birth_year,"bio,origin"
Q593,Which city or region is Travis Scott associated with?,"Houston, TX","Toronto, ON","Dallas, TX","Miami Gardens, FL",Origin,Easy,origin,location
Q594,What is the real name of Travis Scott?,Jacques Bermon Webster II,Clifford Joseph Harris Jr.,Avery Marcel Joshua Jones,Nathaniel Thomas Wilson,Real Name,Medium,real_name,identity
Q595,What year was The Notorious B.I.G. born?,1972,2008,1995,1985,Birth Year,Easy,birth_year,"bio,origin"
Q596,Which city or region is The Notorious B.I.G. associated with?,"Brooklyn, NY","Oakland, CA","Queensbridge, NY","London, ON",Origin,Easy,origin,location
Q597,What is the real name of The Notorious B.I.G.?,Christopher George Latore Wallace,Miles Parks McCollum,Alvin Lamar Worthy,Adam Aminé Daniel,Real Name,Medium,real_name,identity
Q598,What year was Ghostface Killah born?,1970,1991,1971,1995,Birth Year,Easy,birth_year,"bio,origin"
